,Answer,Confidence,Class,820,435,700,530,220,other,sum_prediction
0,435,0.4,1,0.01,0.7,0.09,0.1,0.1,0.0,0.9999999999999999
1,700,0.7,0,0.25,0.15,0.2,0.2,0.1,0.1,1.0
2,435,0.3,1,0.18,0.18,0.18,0.18,0.18,0.1,0.9999999999999999
3,820,0.6,0,0.13,0.16,0.13,0.18,0.4,0.0,1.0
4,530,0.1,0,0.01,0.65,0.15,0.14,0.01,0.04,1.0
5,435,0.2,1,0.13,0.2,0.16,0.2,0.31,0.0,1.0
6,530,0.7,0,0.01,0.15,0.03,0.4,0.41,0.0,1.0
7,700,0.1,0,0.21,0.23,0.19,0.17,0.2,0.0,1.0
8,435,0.6,1,0.0,0.95,0.0,0.05,0.0,0.0,1.0
9,820,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,435,0.8,1,0.01,0.05,0.01,0.01,0.1,0.82,1.0
11,435,0.6,1,0.8,0.0,0.0,0.0,0.0,0.2,1.0
12,700,1.0,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
13,530,0.7,0,0.03,0.56,0.01,0.15,0.11,0.14,1.0
14,435,0.5,1,0.05,0.5,0.05,0.1,0.2,0.1,1.0000000000000002
15,820,0.6,0,0.19,0.17,0.21,0.21,0.22,0.0,0.9999999999999999
16,700,0.7,0,0.09,0.1,0.14,0.63,0.04,0.0,1.0
17,700,0.5,0,0.1,0.2,0.3,0.2,0.15,0.05,1.0
18,820,0.2,0,0.06,0.14,0.21,0.22,0.35,0.02,1.0
19,700,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
20,530,0.5,0,0.15,0.25,0.15,0.2,0.25,0.0,1.0
21,700,0.6,0,0.1,0.1,0.7,0.1,0.0,0.0,0.9999999999999999
22,700,0.4,0,0.2,0.1,0.1,0.1,0.1,0.4,1.0
23,530,0.7,0,0.1,0.2,0.08,0.25,0.25,0.12,1.0
24,435,0.6,1,0.78,0.03,0.13,0.05,0.01,0.0,1.0
25,435,0.7,1,0.2,0.2,0.3,0.15,0.0,0.15,1.0
26,435,0.7,1,0.1,0.15,0.1,0.2,0.3,0.15,1.0
27,700,0.1,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
28,700,0.6,0,0.27,0.24,0.35,0.06,0.07,0.01,1.0
29,435,0.5,1,0.29,0.15,0.11,0.35,0.1,0.0,0.9999999999999999
30,435,0.3,1,0.04,0.15,0.02,0.15,0.24,0.4,1.0
31,700,0.8,0,0.13,0.28,0.28,0.1,0.1,0.11,1.0
32,435,0.6,1,0.01,0.12,0.22,0.33,0.23,0.09,0.9999999999999999
33,435,0.7,1,0.05,0.65,0.05,0.05,0.2,0.0,1.0000000000000002
34,435,0.4,1,0.05,0.1,0.05,0.35,0.45,0.0,1.0
35,700,1.0,0,0.1,0.3,0.3,0.1,0.1,0.1,0.9999999999999999
36,530,0.5,0,0.15,0.35,0.15,0.2,0.1,0.05,1.0
37,700,0.6,0,0.3,0.2,0.2,0.1,0.1,0.1,0.9999999999999999
38,530,0.2,0,0.32,0.0,0.25,0.04,0.24,0.15,1.0
39,other,0.1,0,0.2,0.1,0.25,0.15,0.1,0.2,1.0
40,530,0.8,0,0.05,0.05,0.9,0.0,0.0,0.0,1.0
41,700,0.3,0,0.4,0.2,0.4,0.0,0.0,0.0,1.0
42,700,0.7,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
43,700,0.8,0,0.7,0.0,0.3,0.0,0.0,0.0,1.0
44,435,0.8,1,0.02,0.68,0.05,0.15,0.05,0.05,1.0000000000000002
45,435,0.3,1,0.05,0.7,0.05,0.05,0.15,0.0,1.0
46,530,0.7,0,0.09,0.4,0.1,0.3,0.1,0.01,0.9999999999999999
47,700,0.5,0,0.2,0.15,0.35,0.2,0.1,0.0,0.9999999999999999
48,530,1.0,0,0.16,0.16,0.2,0.14,0.06,0.28,1.0
49,530,0.5,0,0.4,0.3,0.0,0.2,0.1,0.0,0.9999999999999999
50,435,0.1,1,0.01,0.51,0.01,0.01,0.46,0.0,1.0
51,435,0.5,1,0.35,0.0,0.2,0.1,0.1,0.25,1.0
52,435,0.6,1,0.47,0.14,0.17,0.11,0.11,0.0,1.0
53,700,0.7,0,0.8,0.05,0.1,0.05,0.0,0.0,1.0
54,530,0.2,0,0.8,0.1,0.05,0.02,0.03,0.0,1.0
55,700,0.6,0,0.05,0.2,0.05,0.3,0.4,0.0,1.0
56,435,0.6,1,0.01,0.28,0.02,0.27,0.27,0.15,1.0
57,700,0.7,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
58,700,0.9,0,0.04,0.05,0.9,0.01,0.0,0.0,1.0
59,530,0.3,0,0.01,0.25,0.05,0.15,0.54,0.0,1.0
60,700,0.3,0,0.2,0.15,0.25,0.25,0.05,0.1,1.0
61,700,0.6,0,0.5,0.02,0.4,0.02,0.02,0.04,1.0
62,435,0.6,1,0.01,0.1,0.01,0.01,0.2,0.67,1.0
63,700,0.6,0,0.1,0.3,0.2,0.1,0.1,0.2,1.0
64,435,0.5,1,0.0,0.85,0.0,0.0,0.0,0.15,1.0
65,530,0.1,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
66,435,0.7,1,0.1,0.5,0.1,0.1,0.2,0.0,1.0
67,435,0.9,1,0.15,0.15,0.15,0.15,0.2,0.2,1.0
68,700,0.5,0,0.05,0.4,0.4,0.1,0.05,0.0,1.0
69,820,0.9,0,0.15,0.1,0.25,0.1,0.15,0.25,1.0
70,700,0.6,0,0.38,0.3,0.2,0.05,0.07,0.0,1.0
71,700,0.1,0,0.17,0.17,0.17,0.17,0.16,0.16,1.0
72,820,0.6,0,0.5,0.45,0.0,0.0,0.05,0.0,1.0
73,820,0.1,0,0.08,0.03,0.27,0.29,0.07,0.26,1.0
74,530,0.7,0,0.03,0.05,0.02,0.15,0.3,0.45,1.0
75,435,0.3,1,0.05,0.1,0.01,0.05,0.09,0.7,1.0
76,700,0.9,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
77,530,0.5,0,0.1,0.1,0.4,0.3,0.05,0.05,1.0000000000000002
78,700,0.1,0,0.1,0.15,0.5,0.1,0.1,0.05,1.0
79,other,0.4,0,0.1,0.15,0.15,0.05,0.25,0.3,1.0
80,700,0.4,0,0.1,0.25,0.35,0.05,0.15,0.1,1.0
81,435,0.1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,435,0.5,1,0.05,0.1,0.1,0.05,0.1,0.6,1.0
83,700,0.7,0,0.1,0.1,0.1,0.1,0.2,0.4,1.0
84,820,1.0,0,0.4,0.3,0.1,0.1,0.1,0.0,0.9999999999999999
85,435,0.7,1,0.2,0.2,0.4,0.1,0.09,0.01,1.0
86,530,0.8,0,0.05,0.15,0.05,0.7,0.0,0.05,1.0
87,435,0.8,1,0.01,0.54,0.43,0.02,0.0,0.0,1.0
88,435,0.5,1,0.05,0.1,0.06,0.1,0.1,0.59,1.0
89,435,0.9,1,0.01,0.9,0.01,0.01,0.05,0.02,1.0
90,435,0.4,1,0.11,0.14,0.16,0.3,0.19,0.1,0.9999999999999999
91,435,0.7,1,0.05,0.1,0.15,0.2,0.4,0.1,1.0
92,435,0.4,1,0.0,0.48,0.0,0.0,0.45,0.07,1.0
93,700,0.6,0,0.3,0.1,0.22,0.18,0.14,0.06,1.0
94,435,0.6,1,0.01,0.1,0.02,0.02,0.2,0.65,1.0
95,435,0.7,1,0.0,0.9,0.0,0.1,0.0,0.0,1.0
96,435,0.1,1,0.0,0.4,0.32,0.28,0.0,0.0,1.0
97,700,0.1,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
