,Answer,Confidence,Class,1,2,3,4,8,10,16,60,sum_prediction
157,4,0.1,0,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,1.0
158,8,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
159,8,0.3,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
160,4,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0
161,8,0.1,0,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,1.0
162,8,0.6,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0
163,3,1.0,1,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,1.0
164,4,1.0,0,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,1.0
165,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
166,4,0.4,0,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,1.0
167,8,0.8,0,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,1.0
168,8,0.4,0,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,1.0
169,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,1.0
170,8,1.0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0
171,10,0.3,0,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,1.0
172,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
173,1,1.0,0,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,1.0
174,1,0.2,0,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,1.0
175,4,0.1,0,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,1.0
176,8,0.5,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,1.0
177,8,0.8,0,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,1.0
178,8,1.0,0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0
179,8,1.0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,1.0
180,8,0.4,0,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,1.0
181,1,0.6,0,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0.0,1.0
182,1,1.0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
183,1,1.0,0,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,1.0
184,1,0.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,4,0.7,0,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,1.0
186,1,0.9,0,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,1.0
187,1,0.9,0,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,1.0
190,8,0.6,0,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,1.0
191,8,0.7,0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,1.0
192,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
193,8,0.8,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0
194,10,0.2,0,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,1.0
195,10,0.2,0,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,1.0
196,8,0.6,0,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,1.0
197,1,0.4,0,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,1.0
198,8,0.9,0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,1.0
199,8,0.7,0,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,1.0
200,1,0.6,0,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,1.0
201,8,0.8,0,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,1.0
202,16,1.0,0,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,1.0
203,1,0.6,0,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,1.0000000000000002
204,8,0.9,0,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,0.9999999999999999
205,1,0.8,0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.0
206,8,0.8,0,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,1.0
207,1,0.8,0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
208,8,0.5,0,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,1.0
209,2,1.0,0,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,1.0
210,4,0.4,0,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,1.0
211,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
212,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
213,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
214,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
215,8,0.5,0,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,1.0
216,8,0.3,0,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,1.0
217,8,0.1,0,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,1.0
218,3,0.5,1,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,1.0
219,3,1.0,1,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,1.0
220,4,0.1,0,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,1.0
221,8,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
222,8,0.3,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
223,4,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0
224,8,0.1,0,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,1.0
225,8,0.6,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0
226,3,1.0,1,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,1.0
227,4,1.0,0,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,1.0
228,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
229,4,0.4,0,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,1.0
230,8,0.8,0,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,1.0
231,8,0.4,0,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,1.0
232,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,1.0
233,8,1.0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0
234,10,0.3,0,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,1.0
235,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
236,1,1.0,0,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,1.0
237,1,0.2,0,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,1.0
238,4,0.1,0,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,1.0
239,8,0.5,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,1.0
240,8,0.8,0,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,1.0
241,8,1.0,0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0
242,8,1.0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,1.0
243,1,0.6,0,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0.0,1.0
244,1,1.0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
245,1,1.0,0,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,1.0
246,1,0.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,4,0.7,0,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,1.0
248,1,0.9,0,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,1.0
249,1,0.9,0,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,1.0
252,8,0.6,0,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,1.0
253,8,0.7,0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,1.0
254,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
255,8,0.8,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0
256,10,0.2,0,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,1.0
257,10,0.2,0,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,1.0
258,8,0.6,0,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,1.0
259,1,0.4,0,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,1.0
260,8,0.9,0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,1.0
261,8,0.7,0,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,1.0
262,1,0.6,0,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,1.0
263,8,0.8,0,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,1.0
264,16,1.0,0,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,1.0
265,1,0.6,0,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,1.0000000000000002
266,8,0.9,0,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,0.9999999999999999
267,1,0.8,0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.0
268,8,0.8,0,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,1.0
269,1,0.8,0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
270,8,0.5,0,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,1.0
271,2,1.0,0,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,1.0
272,4,0.4,0,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,1.0
273,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
274,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
275,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
276,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
277,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
278,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
279,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
280,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
281,4,0.4,0,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,1.0
282,1,1.0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
283,8,0.9,0,0.0,0.0,0.0,0.1,0.75,0.15,0.0,0.0,1.0
284,1,0.6,0,0.1,0.05,0.05,0.05,0.6,0.05,0.05,0.05,1.0
285,8,0.9,0,0.2,0.0,0.0,0.1,0.6,0.0,0.1,0.0,1.0
286,8,0.5,0,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,1.0
287,8,0.3,0,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,1.0
288,8,0.1,0,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,1.0
289,3,0.5,1,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,1.0
290,3,1.0,1,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,1.0
291,4,0.1,0,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,1.0
292,8,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
293,8,0.3,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
294,4,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0
295,8,0.1,0,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,1.0
296,8,0.6,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0
297,3,1.0,1,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,1.0
298,4,1.0,0,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,1.0
299,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
300,4,0.4,0,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,1.0
301,8,0.8,0,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,1.0
302,8,0.4,0,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,1.0
303,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,1.0
304,8,1.0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0
305,10,0.3,0,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,1.0
306,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
307,1,1.0,0,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,1.0
308,1,0.2,0,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,1.0
309,4,0.1,0,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,1.0
310,8,0.5,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,1.0
311,8,0.8,0,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,1.0
312,8,1.0,0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0
313,8,1.0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,1.0
314,8,0.4,0,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,1.0
