,Answer,Confidence,Class,3,5,6,7,10,12,15,25,sum_prediction
0,5,0.5,0,0.15,0.15,0.15,0.1,0.05,0.15,0.15,0.1,1.0
1,5,0.3,0,0.1,0.45,0.1,0.05,0.15,0.1,0.05,0.0,1.0
2,3,1.0,0,0.2,0.15,0.25,0.05,0.1,0.05,0.1,0.1,1.0
3,5,0.7,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,1.0
4,10,0.2,0,0.05,0.15,0.05,0.05,0.25,0.15,0.1,0.2,1.0
5,7,0.8,1,0.0,0.05,0.1,0.33,0.2,0.2,0.07,0.05,1.0000000000000002
6,6,0.8,0,0.15,0.1,0.1,0.15,0.1,0.2,0.1,0.1,1.0
7,7,0.8,1,0.0,0.0,0.15,0.8,0.05,0.0,0.0,0.0,1.0
8,5,1.0,0,0.1,0.0,0.15,0.15,0.1,0.1,0.25,0.15,1.0
9,6,0.6,0,0.1,0.1,0.15,0.15,0.2,0.05,0.15,0.1,1.0
10,5,0.7,0,0.05,0.5,0.1,0.1,0.1,0.06,0.05,0.04,1.0
11,5,1.0,0,0.05,0.65,0.05,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
12,5,0.7,0,0.05,0.05,0.1,0.15,0.2,0.1,0.25,0.1,1.0
13,3,0.4,0,0.45,0.25,0.1,0.05,0.05,0.05,0.05,0.0,1.0
14,5,0.9,0,0.05,0.1,0.25,0.0,0.05,0.15,0.2,0.2,1.0
15,15,0.9,0,0.05,0.05,0.15,0.05,0.1,0.2,0.35,0.05,1.0
16,15,0.5,0,0.05,0.15,0.05,0.0,0.2,0.05,0.3,0.2,1.0
17,5,0.7,0,0.1,0.4,0.05,0.05,0.05,0.05,0.15,0.15,1.0000000000000002
18,6,0.8,0,0.05,0.2,0.15,0.2,0.25,0.15,0.0,0.0,1.0
19,5,0.4,0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.2,1.0
20,6,0.8,0,0.0,0.35,0.65,0.0,0.0,0.0,0.0,0.0,1.0
21,5,0.5,0,0.1,0.1,0.25,0.25,0.05,0.1,0.1,0.05,1.0
22,5,0.2,0,0.05,0.1,0.1,0.2,0.15,0.15,0.15,0.1,1.0
23,6,1.0,0,0.0,0.05,0.7,0.1,0.0,0.0,0.0,0.15,1.0
24,6,1.0,0,0.15,0.25,0.25,0.1,0.1,0.05,0.05,0.05,1.0
25,25,0.8,0,0.0,0.2,0.0,0.0,0.1,0.05,0.05,0.6,1.0
26,5,0.5,0,0.18,0.43,0.07,0.08,0.07,0.06,0.04,0.07,1.0
27,3,0.9,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,5,0.5,0,0.2,0.15,0.15,0.2,0.15,0.1,0.05,0.0,1.0
29,6,0.8,0,0.05,0.1,0.8,0.0,0.0,0.0,0.0,0.05,1.0
30,6,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,10,0.4,0,0.0,0.25,0.2,0.15,0.25,0.05,0.05,0.05,1.0
32,15,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,1.0
33,5,0.5,0,0.05,0.35,0.1,0.1,0.25,0.05,0.05,0.05,1.0
34,5,0.4,0,0.1,0.2,0.2,0.1,0.15,0.15,0.05,0.05,1.0
35,5,0.8,0,0.1,0.15,0.3,0.05,0.1,0.1,0.1,0.1,1.0
36,10,0.4,0,0.0,0.2,0.05,0.1,0.4,0.1,0.1,0.05,1.0
37,5,0.5,0,0.0,0.5,0.2,0.0,0.3,0.0,0.0,0.0,1.0
38,5,0.5,0,0.2,0.2,0.1,0.15,0.05,0.15,0.05,0.1,1.0000000000000002
39,6,0.4,0,0.05,0.2,0.4,0.2,0.1,0.05,0.0,0.0,1.0
40,5,0.1,0,0.05,0.5,0.05,0.0,0.1,0.1,0.05,0.15,1.0
41,5,0.5,0,0.1,0.1,0.15,0.15,0.2,0.1,0.1,0.1,0.9999999999999999
42,10,0.2,0,0.4,0.1,0.1,0.1,0.15,0.05,0.05,0.05,1.0
43,5,0.7,0,0.1,0.35,0.05,0.15,0.05,0.1,0.1,0.1,0.9999999999999999
44,15,0.5,0,0.05,0.05,0.05,0.05,0.05,0.05,0.7,0.0,1.0
45,3,0.6,0,0.35,0.1,0.05,0.1,0.15,0.15,0.05,0.05,1.0
46,5,0.5,0,0.15,0.25,0.15,0.15,0.1,0.1,0.1,0.0,1.0
47,5,0.4,0,0.1,0.15,0.15,0.1,0.1,0.15,0.15,0.1,1.0
48,25,0.5,0,0.0,0.05,0.05,0.05,0.05,0.05,0.15,0.6,1.0
49,3,0.7,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,1.0
50,5,0.5,0,0.0,0.7,0.15,0.0,0.15,0.0,0.0,0.0,1.0
51,5,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,7,0.1,1,0.35,0.05,0.05,0.25,0.1,0.05,0.1,0.05,1.0
53,7,0.7,1,0.05,0.0,0.25,0.1,0.4,0.1,0.1,0.0,1.0
54,5,0.8,0,0.05,0.05,0.15,0.15,0.15,0.1,0.1,0.25,1.0
55,7,0.8,1,0.05,0.05,0.05,0.2,0.25,0.25,0.1,0.05,1.0
56,5,0.3,0,0.0,0.4,0.0,0.0,0.3,0.0,0.2,0.1,0.9999999999999999
57,6,0.4,0,0.0,0.3,0.4,0.2,0.05,0.05,0.0,0.0,1.0
58,5,1.0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.9999999999999999
59,25,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
60,12,1.0,0,0.2,0.2,0.1,0.15,0.05,0.1,0.1,0.1,1.0
61,3,0.5,0,0.2,0.5,0.05,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
62,6,0.6,0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0
63,3,0.2,0,0.25,0.3,0.2,0.1,0.15,0.0,0.0,0.0,1.0
