,Answer,Confidence,Class,12.50%,25%,33%,50%,66%,75%,100%,sum_prediction
0,100%,0.8,0,0.05,0.05,0.05,0.1,0.1,0.15,0.5,1.0
1,50%,0.3,0,0.1,0.1,0.3,0.3,0.1,0.05,0.05,1.0
2,12.50%,0.1,0,0.25,0.25,0.15,0.1,0.1,0.15,0.0,1.0
3,50%,0.2,0,0.05,0.05,0.05,0.35,0.2,0.2,0.1,0.9999999999999999
4,33%,0.5,0,0.05,0.25,0.35,0.05,0.05,0.15,0.1,1.0
5,66%,1.0,0,0.1,0.1,0.1,0.1,0.4,0.1,0.1,1.0
6,50%,0.6,0,0.15,0.25,0.25,0.1,0.1,0.05,0.1,1.0
7,33%,0.9,0,0.1,0.2,0.1,0.1,0.1,0.4,0.0,1.0
8,50%,0.5,0,0.05,0.1,0.25,0.3,0.1,0.1,0.1,0.9999999999999999
9,75%,0.8,1,0.0,0.0,0.05,0.1,0.1,0.75,0.0,1.0
10,50%,0.6,0,0.15,0.1,0.1,0.3,0.15,0.1,0.1,0.9999999999999999
11,33%,0.1,0,0.05,0.05,0.35,0.05,0.4,0.05,0.05,1.0
12,50%,0.7,0,0.05,0.1,0.15,0.2,0.15,0.25,0.1,1.0
13,33%,0.3,0,0.15,0.05,0.55,0.1,0.05,0.05,0.05,1.0
14,50%,0.7,0,0.1,0.15,0.15,0.25,0.15,0.1,0.1,1.0
15,33%,0.5,0,0.1,0.1,0.4,0.1,0.2,0.05,0.05,1.0000000000000002
16,66%,0.8,0,0.15,0.15,0.15,0.1,0.3,0.1,0.05,0.9999999999999999
17,33%,0.5,0,0.1,0.1,0.3,0.1,0.1,0.15,0.15,1.0
18,33%,0.8,0,0.1,0.1,0.4,0.05,0.1,0.15,0.1,1.0000000000000002
19,50%,0.8,0,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.9999999999999999
20,75%,0.8,1,0.1,0.1,0.1,0.2,0.1,0.1,0.3,1.0
21,33%,0.1,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0
22,50%,0.7,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,1.0
23,25%,0.6,0,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
24,66%,0.6,0,0.1,0.15,0.1,0.2,0.3,0.05,0.1,1.0000000000000002
25,75%,0.7,1,0.05,0.2,0.0,0.3,0.05,0.4,0.0,1.0
26,75%,0.8,1,0.05,0.1,0.15,0.2,0.15,0.25,0.1,1.0
27,33%,0.6,0,0.0,0.0,0.5,0.0,0.3,0.1,0.1,1.0
28,75%,0.5,1,0.15,0.1,0.0,0.3,0.05,0.4,0.0,1.0
29,33%,0.3,0,0.1,0.1,0.7,0.0,0.0,0.0,0.1,0.9999999999999999
30,66%,0.3,0,0.1,0.15,0.2,0.2,0.25,0.1,0.0,1.0
31,66%,0.8,0,0.1,0.15,0.15,0.05,0.35,0.1,0.1,1.0
32,12.50%,0.2,0,0.1,0.15,0.15,0.15,0.15,0.15,0.15,1.0
33,50%,0.2,0,0.15,0.15,0.15,0.25,0.15,0.1,0.05,1.0
34,75%,0.6,1,0.05,0.2,0.05,0.35,0.05,0.25,0.05,1.0
35,75%,0.8,1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,1.0
36,50%,0.7,0,0.1,0.2,0.3,0.25,0.1,0.05,0.0,1.0
37,33%,0.7,0,0.05,0.05,0.4,0.4,0.05,0.05,0.0,1.0
38,66%,0.1,0,0.1,0.05,0.05,0.1,0.35,0.25,0.1,1.0
39,100%,0.9,0,0.0,0.0,0.0,0.3,0.05,0.05,0.6,1.0
40,100%,0.7,0,0.1,0.1,0.1,0.1,0.1,0.1,0.4,1.0
41,33%,0.4,0,0.0,0.0,0.33,0.0,0.33,0.0,0.34,1.0
42,100%,1.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0
43,50%,0.6,0,0.1,0.1,0.25,0.4,0.05,0.05,0.05,1.0000000000000002
44,12.50%,0.1,0,0.2,0.15,0.1,0.3,0.1,0.1,0.05,1.0
45,50%,0.6,0,0.15,0.15,0.45,0.1,0.1,0.05,0.0,1.0
46,75%,0.7,1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,1.0
47,100%,1.0,0,0.1,0.15,0.15,0.05,0.05,0.1,0.4,1.0
48,100%,0.7,0,0.4,0.05,0.05,0.05,0.05,0.1,0.3,1.0
49,33%,0.8,0,0.2,0.1,0.5,0.05,0.02,0.03,0.1,1.0000000000000002
50,33%,1.0,0,0.1,0.05,0.5,0.1,0.1,0.05,0.1,1.0
51,33%,0.5,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0
52,33%,0.3,0,0.05,0.1,0.25,0.1,0.3,0.1,0.1,1.0
53,12.50%,0.4,0,0.15,0.15,0.15,0.15,0.15,0.15,0.1,1.0
54,100%,0.8,0,0.05,0.05,0.25,0.05,0.3,0.05,0.25,1.0
55,50%,0.4,0,0.05,0.05,0.1,0.6,0.1,0.05,0.05,1.0
56,33%,0.7,0,0.15,0.15,0.5,0.2,0.0,0.0,0.0,1.0
57,33%,0.3,0,0.15,0.15,0.25,0.15,0.15,0.15,0.0,1.0
58,25%,0.1,0,0.4,0.15,0.1,0.35,0.0,0.0,0.0,1.0
59,50%,0.7,0,0.1,0.1,0.1,0.5,0.0,0.1,0.1,1.0
60,12.50%,0.8,0,0.05,0.2,0.25,0.05,0.15,0.2,0.1,1.0000000000000002
61,50%,0.1,0,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.9999999999999999
62,12.50%,0.9,0,0.8,0.05,0.05,0.05,0.05,0.0,0.0,1.0000000000000002
63,100%,0.7,0,0.05,0.05,0.05,0.05,0.05,0.05,0.7,1.0
64,12.5%,0.9,0,0.3,0.05,0.1,0.1,0.1,0.1,0.25,0.9999999999999999
65,75%,0.6,1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,1.0000000000000002
66,50%,0.5,0,0.05,0.15,0.15,0.5,0.05,0.1,0.0,1.0
67,50%,0.6,0,0.2,0.2,0.2,0.1,0.1,0.1,0.1,1.0
68,66%,0.6,0,0.05,0.05,0.1,0.1,0.35,0.1,0.25,1.0
69,33%,0.5,0,0.15,0.15,0.2,0.1,0.0,0.4,0.0,1.0
70,33%,1.0,0,0.0,0.05,0.8,0.0,0.0,0.0,0.15,1.0
